LEVEL1,LEVEL2,LEVEL3,LEVEL4,TOOLTIP,SOURCE,SOURCE URL,2012,2013,2014,2015,2016,LEVEL
Parking Facilities Fund-Operat,Parking Operations,Non-Program Revenues,Rental/Parking Rev-New Rcc,,,,75000,75000,75000,75000,75000,4
Parking Facilities Fund-Operat,Parking Operations,Non-Program Revenues,Special Event Parking Permit F,,,,,2300,800,1200,1200,4
Parking Facilities Fund-Operat,Parking Operations,Non-Program Revenues,Valet Parking Permit Fees,,,,,250,200,100,100,4
Parking Facilities Fund-Operat,Parking Operations,Non-Program Revenues Total,,,,,9474629,14791191,15192768,16005224,17849615,3
Parking Facilities Fund-Operat,Parking Operations Total,,,,,,12631902,14791191,15192768,16005224,17849615,2
Parking Facilities Fund-Operat Total,,,,,,,12658048,14816191,15198468,16017224,17849615,1
Public Transit Fund-Operating,Accessible Raleigh Transit,Blank Program Code,Fr 100 For Access Ral Trans,,,,6887599,,,,,4
Public Transit Fund-Operating,Accessible Raleigh Transit,Blank Program Code,Passenger Rev-ART Tier II,,,,600000,,,,,4
Public Transit Fund-Operating,Accessible Raleigh Transit,Blank Program Code Total,,,,,7487599,,,,,3
Public Transit Fund-Operating,Accessible Raleigh Transit,Non-Program Revenues,Federal Grants,,,,,500000,500000,500000,540328,4
Public Transit Fund-Operating,Accessible Raleigh Transit,Non-Program Revenues,Fr 100 For Access Ral Trans,,,,,6890429,6787074,6810089,6815176,4
Public Transit Fund-Operating,Accessible Raleigh Transit,Non-Program Revenues,Passenger Rev-ART Tier II,,,,,650000,750000,750000,800000,4
Public Transit Fund-Operating,Accessible Raleigh Transit,Non-Program Revenues Total,,,,,,8040429,8037074,8060089,8155504,3
Public Transit Fund-Operating,Accessible Raleigh Transit Total,,,,,,7487599,8040429,8037074,8060089,8155504,2
Public Transit Fund-Operating,Transit Operations,Blank Program Code,Advertising Revenue,,,,45000,,,,,4
Public Transit Fund-Operating,Transit Operations,Blank Program Code,Approp From Prior Year,,,,227323,,,,,4
Public Transit Fund-Operating,Transit Operations,Blank Program Code,Farebox Revenue,,,,3753266,,,,,4
Public Transit Fund-Operating,Transit Operations,Blank Program Code,Fr 100 General Fd,,,,9981358,,,,,4
Public Transit Fund-Operating,Transit Operations,Blank Program Code,Misc Revenues,,,,27045,,,,,4
Public Transit Fund-Operating,Transit Operations,Blank Program Code,State Grants,,,,2572238,,,,,4
Public Transit Fund-Operating,Transit Operations,Blank Program Code Total,,,,,16606230,,,,,3
Public Transit Fund-Operating,Transit Operations,Non-Program Revenues,Advertising Revenue,,,,,125000,125000,125000,125000,4
Public Transit Fund-Operating,Transit Operations,Non-Program Revenues,Approp From Prior Year,,,,,246963,246963,246963,722791,4
Public Transit Fund-Operating,Transit Operations,Non-Program Revenues,Contracted Transit Route Rev,,,,,,,,2506654,4
Public Transit Fund-Operating,Transit Operations,Non-Program Revenues,Farebox Revenue,,,,,4030000,4308971,4485780,3612600,4
Public Transit Fund-Operating,Transit Operations,Non-Program Revenues,Federal Grants,,,,300000,300000,,,,4
Public Transit Fund-Operating,Transit Operations,Non-Program Revenues,Fr 100 General Fd,,,,,10811600,11340654,11760182,11759062,4
Public Transit Fund-Operating,Transit Operations,Non-Program Revenues,Fr 230 Self Insurance,,,,,,,,8720,4
Public Transit Fund-Operating,Transit Operations,Non-Program Revenues,Misc Revenues,,,,,27000,27000,27000,5000,4
Public Transit Fund-Operating,Transit Operations,Non-Program Revenues,State Grants,,,,,2575000,2575000,2575000,2368993,4
Public Transit Fund-Operating,Transit Operations,Non-Program Revenues Total,,,,,300000,18115563,18623588,19219925,21108820,3
Public Transit Fund-Operating,Transit Operations Total,,,,,,16906230,18115563,18623588,19219925,21108820,2
Public Transit Fund-Operating Total,,,,,,,24393829,26155992,26660662,27280014,29264324,1
Public Utilities Fund,Non-Departmental,Blank Program Code,Interest On Investments,,,,851660,,,,,4
Public Utilities Fund,Non-Departmental,Blank Program Code Total,,,,,851660,,,,,3
Public Utilities Fund,Non-Departmental,Non-Program Revenues,Acreage Fee Reimbursements,,,,,1000000,,,,4
Public Utilities Fund,Non-Departmental,Non-Program Revenues,Approp From Prior Year,,,,,15000000,6000000,,,4
Public Utilities Fund,Non-Departmental,Non-Program Revenues,Deferred Tap Fee Int,,,,,4000,4000,,,4
Public Utilities Fund,Non-Departmental,Non-Program Revenues,Farm Product Sales,,,,,250000,250000,,,4
Public Utilities Fund,Non-Departmental,Non-Program Revenues,Fr 100 For W/S Reimb,,,,,595369,636888,,,4
Public Utilities Fund,Non-Departmental,Non-Program Revenues,Fr 260 Water & Sewer Reimburse,,,,,32311,25821,,,4
Public Utilities Fund,Non-Departmental,Non-Program Revenues,Fr 360 for W/S Reimb,,,,,10000,10000,,,4
Public Utilities Fund,Non-Departmental,Non-Program Revenues,Fr 410 for W/S Reimb,,,,,26324,32563,,,4
Public Utilities Fund,Non-Departmental,Non-Program Revenues,Fr 442 For W/S Reimb,,,,,5620,10500,,,4
Public Utilities Fund,Non-Departmental,Non-Program Revenues,Fr 642 For W/S Reimb,,,,,159500,144500,,,4
Public Utilities Fund,Non-Departmental,Non-Program Revenues,Fr 736 For W/S Reimb,,,,,2400,2736,,,4
Public Utilities Fund,Non-Departmental,Non-Program Revenues,Gte Land Lease Pymts,,,,,500000,500000,,,4
Public Utilities Fund,Non-Departmental,Non-Program Revenues,Interest On Investments,,,,,770400,,,,4
Public Utilities Fund,Non-Departmental,Non-Program Revenues,Lawn Irrigation Establish Perm,,,,,5000,5000,,,4
Public Utilities Fund,Non-Departmental,Non-Program Revenues,Nutrient Reduction Fee,,,,,1000000,2000000,,,4
Public Utilities Fund,Non-Departmental,Non-Program Revenues,Nutrient Reduction Fee-Water,,,,,2400000,5000000,,,4
Public Utilities Fund,Non-Departmental,Non-Program Revenues,Outside Sewer Connections,,,,,2000,2000,,,4
Public Utilities Fund,Non-Departmental,Non-Program Revenues,Septic Disposal Fees,,,,,150000,150000,,,4
Public Utilities Fund,Non-Departmental,Non-Program Revenues,Sewer Capital Fac Chgs,,,,,412240,500000,,,4
Public Utilities Fund,Non-Departmental,Non-Program Revenues,Sewer Civil Penalties (Wcpss 9,,,,,5000,5000,,,4
Public Utilities Fund,Non-Departmental,Non-Program Revenues,Sewer Stub Inspection Fee,,,,,45000,85000,,,4
Public Utilities Fund,Non-Departmental,Non-Program Revenues,Water & Sewer Svcs,,,,,566830,750000,,,4
Public Utilities Fund,Non-Departmental,Non-Program Revenues,Water Capital Fac Chgs,,,,,412240,500000,,,4
Public Utilities Fund,Non-Departmental,Non-Program Revenues,Water Civil Penalties (Wcpss 9,,,,,5000,5000,,,4
Public Utilities Fund,Non-Departmental,Non-Program Revenues,Water Sewer Refunds,,,,,"-250,000","-250,000",,,4
Public Utilities Fund,Non-Departmental,Non-Program Revenues,Watershed Protection Revenue,,,,,1416000,1335000,,,4
Public Utilities Fund,Non-Departmental,Non-Program Revenues Total,,,,,,24525234,17704008,,,3
Public Utilities Fund,Non-Departmental Total,,,,,,851660,24525234,17704008,,,2
Public Utilities Fund,Public Utilities Admin,Blank Program Code,Acreage Fee Reimbursements,,,,1000000,,,,,4
Public Utilities Fund,Public Utilities Admin,Blank Program Code,Additional Base W/S Capacity F,,,,169204,,,,,4
Public Utilities Fund,Public Utilities Admin,Blank Program Code,Approp From Prior Year,,,,5439935,,,,,4
Public Utilities Fund,Public Utilities Admin,Blank Program Code,Deferred Tap Fee Int,,,,4390,,,,,4
Public Utilities Fund,Public Utilities Admin,Blank Program Code,Farm Product Sales,,,,457629,,,,,4
Public Utilities Fund,Public Utilities Admin,Blank Program Code,Fee In Lieu Of Construction,,,,11036,,,,,4
Public Utilities Fund,Public Utilities Admin,Blank Program Code,Fr 100 For W/S Reimb,,,,455053,,,,,4
Public Utilities Fund,Public Utilities Admin,Blank Program Code,Fr 260 Water & Sewer Reimburse,,,,14285,,,,,4
Public Utilities Fund,Public Utilities Admin,Blank Program Code,Fr 410 For Ind Cost,,,,18875,,,,,4
Public Utilities Fund,Public Utilities Admin,Blank Program Code,Fr 442 For W/S Reimb,,,,5620,,,,,4
Public Utilities Fund,Public Utilities Admin,Blank Program Code,Fr 642 For W/S Reimb,,,,114400,,,,,4
Public Utilities Fund,Public Utilities Admin,Blank Program Code,Gte Land Lease Pymts,,,,601959,,,,,4
Public Utilities Fund,Public Utilities Admin,Blank Program Code,Impact Fees/Availability Fees-,,,,8805,,,,,4
Public Utilities Fund,Public Utilities Admin,Blank Program Code,Lawn Irrigation Establish Perm,,,,6718,,,,,4
Public Utilities Fund,Public Utilities Admin,Blank Program Code,Misc Water & Sewer Svc Chgs,,,,27212,,,,,4
Public Utilities Fund,Public Utilities Admin,Blank Program Code,Non Resd Sewer User Charges,,,,1531424,,,,,4
Public Utilities Fund,Public Utilities Admin,Blank Program Code,Non-Resd Sewer Admin Charges,,,,49206,,,,,4
Public Utilities Fund,Public Utilities Admin,Blank Program Code,Non-Resd Water Admin Charges,,,,124575,,,,,4
Public Utilities Fund,Public Utilities Admin,Blank Program Code,Non-Resd Water User Charges,,,,2260951,,,,,4
Public Utilities Fund,Public Utilities Admin,Blank Program Code,Nutrient Reduction Fee,,,,1671632,,,,,4
Public Utilities Fund,Public Utilities Admin,Blank Program Code,Nutrient Reduction Fee-Water,,,,1312081,,,,,4
Public Utilities Fund,Public Utilities Admin,Blank Program Code,Outside Sewer Connections,,,,39480,,,,,4
Public Utilities Fund,Public Utilities Admin,Blank Program Code,Resd Sewer Admin Charges,,,,453772,,,,,4
Public Utilities Fund,Public Utilities Admin,Blank Program Code,Resd Water Admin Charges,,,,651342,,,,,4
Public Utilities Fund,Public Utilities Admin,Blank Program Code,Septic Disposal Fees,,,,183455,,,,,4
Public Utilities Fund,Public Utilities Admin,Blank Program Code,Sewer Capital Fac Chgs,,,,565825,,,,,4
Public Utilities Fund,Public Utilities Admin,Blank Program Code,Sewer Civil Penalties (Wcpss 9,,,,10542,,,,,4
Public Utilities Fund,Public Utilities Admin,Blank Program Code,Sewer Sales-Municipalities,,,,14604,,,,,4
Public Utilities Fund,Public Utilities Admin,Blank Program Code,Sewer Stub Inspection Fee,,,,31516,,,,,4
Public Utilities Fund,Public Utilities Admin,Blank Program Code,Sewer User Charges,,,,11022674,,,,,4
Public Utilities Fund,Public Utilities Admin,Blank Program Code,Water & Sewer Clearing Acct,,,,50750,,,,,4
Public Utilities Fund,Public Utilities Admin,Blank Program Code,Water & Sewer Penalties,,,,97495,,,,,4
Public Utilities Fund,Public Utilities Admin,Blank Program Code,Water & Sewer Svcs,,,,724293,,,,,4
Public Utilities Fund,Public Utilities Admin,Blank Program Code,Water Capacity Replacement Fee,,,,37931,,,,,4
Public Utilities Fund,Public Utilities Admin,Blank Program Code,Water Capital Fac Chgs,,,,692131,,,,,4
Public Utilities Fund,Public Utilities Admin,Blank Program Code,Water Civil Penalties (Wcpss 9,,,,7287,,,,,4
Public Utilities Fund,Public Utilities Admin,Blank Program Code,Water Sewer Account Initiation,,,,273511,,,,,4
Public Utilities Fund,Public Utilities Admin,Blank Program Code,Water Sewer Assessment,,,,24638,,,,,4
Public Utilities Fund,Public Utilities Admin,Blank Program Code,Water Sewer Delinquent Bill Fe,,,,338339,,,,,4
Public Utilities Fund,Public Utilities Admin,Blank Program Code,Water Sewer Refunds,,,,"-274,989",,,,,4
Public Utilities Fund,Public Utilities Admin,Blank Program Code,Water User Charges - Tier 1,,,,9671823,,,,,4
Public Utilities Fund,Public Utilities Admin,Blank Program Code,Water User Charges - Tier 2,,,,863312,,,,,4
Public Utilities Fund,Public Utilities Admin,Blank Program Code,Water User Charges - Tier 3,,,,316801,,,,,4
Public Utilities Fund,Public Utilities Admin,Blank Program Code Total,,,,,41081522,,,,,3
Public Utilities Fund,Public Utilities Admin,Non-Program Revenues,Additional Base W/S Capacity F,,,,,50000,50000,50000,50000,4
Public Utilities Fund,Public Utilities Admin,Non-Program Revenues,Approp From Excess Fund Bal-PU,,,,,,,4900000,27152829,4
Public Utilities Fund,Public Utilities Admin,Non-Program Revenues,Approp From Other Funds,,,,700000,,,,,4
Public Utilities Fund,Public Utilities Admin,Non-Program Revenues,Approp From Prior Year,,,,,,,6000000,7312058,4
Public Utilities Fund,Public Utilities Admin,Non-Program Revenues,Deferred Tap Fee Int,,,,,,,4000,4000,4
Public Utilities Fund,Public Utilities Admin,Non-Program Revenues,Farm Product Sales,,,,,,,250000,250000,4
Public Utilities Fund,Public Utilities Admin,Non-Program Revenues,Fr 100 For W/S Reimb,,,,,,,688743,705843,4
Public Utilities Fund,Public Utilities Admin,Non-Program Revenues,Fr 230 Self Insurance,,,,,,,1050000,331360,4
Public Utilities Fund,Public Utilities Admin,Non-Program Revenues,Fr 260 Water & Sewer Reimburse,,,,,,,25821,29100,4
Public Utilities Fund,Public Utilities Admin,Non-Program Revenues,Fr 360 for W/S Reimb,,,,,,,10000,21600,4
Public Utilities Fund,Public Utilities Admin,Non-Program Revenues,Fr 360 Indirect Cost,,,,,,510269,521653,437609,4
Public Utilities Fund,Public Utilities Admin,Non-Program Revenues,Fr 410 for W/S Reimb,,,,,,,32563,32563,4
Public Utilities Fund,Public Utilities Admin,Non-Program Revenues,Fr 442 For W/S Reimb,,,,,,,12500,14500,4
Public Utilities Fund,Public Utilities Admin,Non-Program Revenues,Fr 460 Reimb Ind Costs,,,,,,477439,465699,371479,4
Public Utilities Fund,Public Utilities Admin,Non-Program Revenues,Fr 642 For W/S Reimb,,,,,,,150500,148000,4
Public Utilities Fund,Public Utilities Admin,Non-Program Revenues,Fr 736 For W/S Reimb,,,,,,,2350,2450,4
Public Utilities Fund,Public Utilities Admin,Non-Program Revenues,Gte Land Lease Pymts,,,,,,,500000,500000,4
Public Utilities Fund,Public Utilities Admin,Non-Program Revenues,Hydrant Meter Rentals,,,,136469,150000,250000,250000,250000,4
Public Utilities Fund,Public Utilities Admin,Non-Program Revenues,Impact Fees/Availability Fees-,,,,,150000,875000,875000,875000,4
Public Utilities Fund,Public Utilities Admin,Non-Program Revenues,Industry Sewer Surcharge,,,,667507,1000000,1000000,1000000,400000,4
Public Utilities Fund,Public Utilities Admin,Non-Program Revenues,Interest On Investments,,,,,,793440,823200,1030000,4
Public Utilities Fund,Public Utilities Admin,Non-Program Revenues,Lawn Irrigation Establish Perm,,,,,,,5000,5000,4
Public Utilities Fund,Public Utilities Admin,Non-Program Revenues,Merger Surcharge,,,,,75000,75000,75000,75000,4
Public Utilities Fund,Public Utilities Admin,Non-Program Revenues,Misc Revenues,,,,242488,397600,397600,397600,397600,4
Public Utilities Fund,Public Utilities Admin,Non-Program Revenues,Misc Water & Sewer Svc Chgs,,,,12982,42000,77000,77000,77000,4
Public Utilities Fund,Public Utilities Admin,Non-Program Revenues,Non Resd Sewer User Charges,,,,16263934,30651919,34354354,35672363,38537260,4
Public Utilities Fund,Public Utilities Admin,Non-Program Revenues,Non-Resd Sewer Admin Charges,,,,437940,1868394,4182179,4191822,4294884,4
Public Utilities Fund,Public Utilities Admin,Non-Program Revenues,Non-Resd Water Admin Charges,,,,1346812,2096020,4181643,4198748,4302076,4
Public Utilities Fund,Public Utilities Admin,Non-Program Revenues,Non-Resd Water User Charges,,,,24807644,28263862,27780308,27617071,29859424,4
Public Utilities Fund,Public Utilities Admin,Non-Program Revenues,Nutrient Reduction Fee,,,,,822000,1622000,3622000,3622000,4
Public Utilities Fund,Public Utilities Admin,Non-Program Revenues,Nutrient Reduction Fee-Water,,,,,,,3500000,3500000,4
Public Utilities Fund,Public Utilities Admin,Non-Program Revenues,Outside Sewer Connections,,,,,20000,20000,22000,22000,4
Public Utilities Fund,Public Utilities Admin,Non-Program Revenues,Resd Sewer Admin Charges,,,,6207554,8830922,10037337,10421100,10741307,4
Public Utilities Fund,Public Utilities Admin,Non-Program Revenues,Resd Water Admin Charges,,,,8567018,9176138,9512018,9882635,10188711,4
Public Utilities Fund,Public Utilities Admin,Non-Program Revenues,Septic Disposal Fees,,,,,,,150000,150000,4
Public Utilities Fund,Public Utilities Admin,Non-Program Revenues,Sewer Capital Fac Chgs,,,,,110000,435000,935000,1435000,4
Public Utilities Fund,Public Utilities Admin,Non-Program Revenues,Sewer Civil Penalties (Wcpss 9,,,,,,,5000,5000,4
Public Utilities Fund,Public Utilities Admin,Non-Program Revenues,Sewer Sales-Municipalities,,,,,14400,14400,14400,14400,4
Public Utilities Fund,Public Utilities Admin,Non-Program Revenues,Sewer Stub Inspection Fee,,,,,,,85000,85000,4
Public Utilities Fund,Public Utilities Admin,Non-Program Revenues,Sewer User Charges,,,,30063523,36528814,39407085,41773431,43381313,4
Public Utilities Fund,Public Utilities Admin,Non-Program Revenues,Water & Sewer Penalties,,,,409897,472000,1155000,1155000,1155000,4
Public Utilities Fund,Public Utilities Admin,Non-Program Revenues,Water & Sewer Svcs,,,,,93000,143000,893000,893000,4
Public Utilities Fund,Public Utilities Admin,Non-Program Revenues,Water Capital Fac Chgs,,,,,160000,310000,810000,1310000,4
Public Utilities Fund,Public Utilities Admin,Non-Program Revenues,Water Civil Penalties (Wcpss 9,,,,,,,5000,5000,4
Public Utilities Fund,Public Utilities Admin,Non-Program Revenues,Water Sales-Municipalities,,,,,144000,894000,144000,144000,4
Public Utilities Fund,Public Utilities Admin,Non-Program Revenues,Water Sewer Account Initiation,,,,1183715,1275600,1475000,1475000,1475000,4
Public Utilities Fund,Public Utilities Admin,Non-Program Revenues,Water Sewer Delinquent Bill Fe,,,,1061841,2420000,2855000,2855000,2855000,4
Public Utilities Fund,Public Utilities Admin,Non-Program Revenues,Water Sewer Refunds,,,,,,,"-250,000","-250,000",4
Public Utilities Fund,Public Utilities Admin,Non-Program Revenues,Water User Charges - Tier 1,,,,18536599,20131154,20292799,21568958,22035046,4
Public Utilities Fund,Public Utilities Admin,Non-Program Revenues,Water User Charges - Tier 2,,,,15885239,9340225,9060043,8938524,9464849,4
Public Utilities Fund,Public Utilities Admin,Non-Program Revenues,Water User Charges - Tier 3,,,,5849315,11312148,9070149,8376183,8297605,4
Public Utilities Fund,Public Utilities Admin,Non-Program Revenues,Watershed Protection Revenue,,,,,,81000,1428770,,4
Public Utilities Fund,Public Utilities Admin,Non-Program Revenues Total,,,,,132380477,165595196,181388063,207656634,237995866,3
Public Utilities Fund,Public Utilities Admin Total,,,,,,173461999,165595196,181388063,207656634,237995866,2
Public Utilities Fund Total,,,,,,,174313659,190120430,199092071,207656634,237995866,1
RCC/PAC Debt Svc Fund,Non-Departmental,Blank Program Code,Fr 715 Conv Ctr Financing Fund,,,,10697000,,,,,4
RCC/PAC Debt Svc Fund,Non-Departmental,Blank Program Code Total,,,,,10697000,,,,,3
RCC/PAC Debt Svc Fund,Non-Departmental,Non-Program Revenues,Approp From Prior Year,,,,796570,,,,,4
RCC/PAC Debt Svc Fund,Non-Departmental,Non-Program Revenues,Fr 715 Conv Ctr Financing Fund,,,,,11153370,11188570,18476000,18476920,4
RCC/PAC Debt Svc Fund,Non-Departmental,Non-Program Revenues,Interest On Investments,,,,9360,12800,10400,7000,21000,4
RCC/PAC Debt Svc Fund,Non-Departmental,Non-Program Revenues Total,,,,,805930,11166170,11198970,18483000,18497920,3
RCC/PAC Debt Svc Fund,Non-Departmental Total,,,,,,11502930,11166170,11198970,18483000,18497920,2
RCC/PAC Debt Svc Fund Total,,,,,,,11502930,11166170,11198970,18483000,18497920,1
RCC/PAC Operations Fund,Performing Arts Center,Administrative,Fr 100 General Fd,,,,,1506635,1621829,1467084,1354362,4
RCC/PAC Operations Fund,Performing Arts Center,Administrative,Fr 230 Self Insurance,,,,,,,,11162,4
RCC/PAC Operations Fund,Performing Arts Center,Administrative,Interest On Investments,,,,,8680,5441,5781,5781,4
RCC/PAC Operations Fund,Performing Arts Center,Administrative,Misc Fees & Chgs-Rccc/Pac,,,,,310,,,2000,4
RCC/PAC Operations Fund,Performing Arts Center,Administrative Total,,,,,,1515625,1627270,1472865,1373305,3
RCC/PAC Operations Fund,Performing Arts Center,Performing Arts Center,Advertising Income,,,,430000,430000,430000,570000,728000,4
RCC/PAC Operations Fund,Performing Arts Center,Performing Arts Center,Box Office Services,,,,28000,21000,21000,15000,15000,4
RCC/PAC Operations Fund,Performing Arts Center,Performing Arts Center,Catering/Concession Fees,,,,275000,222818,300000,400000,400000,4
RCC/PAC Operations Fund,Performing Arts Center,Performing Arts Center,Communications Services,,,,6500,6500,10000,10000,10000,4
RCC/PAC Operations Fund,Performing Arts Center,Performing Arts Center,Credit Card Fee Income,,,,150000,150000,150000,100000,130000,4
RCC/PAC Operations Fund,Performing Arts Center,Performing Arts Center,Equipment Rent,,,,120000,120000,165000,200000,200000,4
RCC/PAC Operations Fund,Performing Arts Center,Performing Arts Center,Event Personnel Income,,,,650000,650000,700000,712000,725000,4
RCC/PAC Operations Fund,Performing Arts Center,Performing Arts Center,Events Commission,,,,230000,230000,250000,300000,320000,4
RCC/PAC Operations Fund,Performing Arts Center,Performing Arts Center,Facility Rent,,,,650000,650000,540000,500000,500000,4
RCC/PAC Operations Fund,Performing Arts Center,Performing Arts Center,Fixed Income,,,,,,,60000,,4
RCC/PAC Operations Fund,Performing Arts Center,Performing Arts Center,Group Comm Income,,,,5000,5000,15000,10000,25000,4
RCC/PAC Operations Fund,Performing Arts Center,Performing Arts Center,Insurance Income,,,,12170,12170,3000,3000,4000,4
RCC/PAC Operations Fund,Performing Arts Center,Performing Arts Center,Interlocal Agreement Support-C,,,,1000000,1000000,1000000,1000000,1000000,4
RCC/PAC Operations Fund,Performing Arts Center,Performing Arts Center,Misc Fees & Chgs-Rccc/Pac,,,,20000,20000,10000,12000,12000,4
RCC/PAC Operations Fund,Performing Arts Center,Performing Arts Center,Orchestra Income,,,,29900,36975,13050,30450,10000,4
RCC/PAC Operations Fund,Performing Arts Center,Performing Arts Center,Pac% Of Income,,,,36000,36000,130000,100000,100000,4
RCC/PAC Operations Fund,Performing Arts Center,Performing Arts Center,Performance Catering Income,,,,36757,36757,20000,54400,20000,4
RCC/PAC Operations Fund,Performing Arts Center,Performing Arts Center,Performing Arts Ctr Contributi,,,,275000,275000,300000,300000,300000,4
RCC/PAC Operations Fund,Performing Arts Center,Performing Arts Center,Production Fee Income,,,,35165,48000,48000,40000,467650,4
RCC/PAC Operations Fund,Performing Arts Center,Performing Arts Center,Rccc/Pac Program Income,,,,40000,40000,20000,42000,21108,4
RCC/PAC Operations Fund,Performing Arts Center,Performing Arts Center,Staff Services,,,,230000,230000,250000,330000,335000,4
RCC/PAC Operations Fund,Performing Arts Center,Performing Arts Center,Subscription Comm Income,,,,6000,6000,,,,4
RCC/PAC Operations Fund,Performing Arts Center,Performing Arts Center,Ticket Facility Income,,,,180000,175000,200000,300000,370000,4
RCC/PAC Operations Fund,Performing Arts Center,Performing Arts Center,Ticket Rebate Income,,,,350000,350000,350000,350000,350000,4
RCC/PAC Operations Fund,Performing Arts Center,Performing Arts Center Total,,,,,4795492,4751220,4925050,5438850,6042758,3
RCC/PAC Operations Fund,Performing Arts Center Total,,,,,,4795492,6266845,6552320,6911715,7416063,2
RCC/PAC Operations Fund,RCC Downtown Amphitheatre,Administrative,Fr 100 General Fd,,,,,299357,193901,367383,375398,4
RCC/PAC Operations Fund,RCC Downtown Amphitheatre,Administrative,Fr 230 Self Insurance,,,,,,,,3139,4
RCC/PAC Operations Fund,RCC Downtown Amphitheatre,Administrative,Interest On Investments,,,,,2800,1190,1530,1530,4
RCC/PAC Operations Fund,RCC Downtown Amphitheatre,Administrative,Misc Fees & Chgs-Rccc/Pac,,,,,100,,,,4
RCC/PAC Operations Fund,RCC Downtown Amphitheatre,Administrative Total,,,,,,302257,195091,368913,380067,3
RCC/PAC Operations Fund,RCC Downtown Amphitheatre,General/Fixed Costs,Advertising Income,,,,,4000,16500,16500,96500,4
RCC/PAC Operations Fund,RCC Downtown Amphitheatre,General/Fixed Costs,Box Office Services,,,,,1000,1000,1000,1100,4
RCC/PAC Operations Fund,RCC Downtown Amphitheatre,General/Fixed Costs,Catering/Concession Fees,,,,493000,435000,500000,565000,690000,4
RCC/PAC Operations Fund,RCC Downtown Amphitheatre,General/Fixed Costs,Credit Card Fee Income,,,,,2000,2000,2000,4000,4
RCC/PAC Operations Fund,RCC Downtown Amphitheatre,General/Fixed Costs,Equipment Rent,,,,,500,500,500,500,4
RCC/PAC Operations Fund,RCC Downtown Amphitheatre,General/Fixed Costs,Event Personnel Income,,,,,3000,25000,10000,10000,4
RCC/PAC Operations Fund,RCC Downtown Amphitheatre,General/Fixed Costs,Events Commission,,,,25600,30000,39000,39000,49800,4
RCC/PAC Operations Fund,RCC Downtown Amphitheatre,General/Fixed Costs,Facility Rent,,,,15000,20000,20000,20000,50000,4
RCC/PAC Operations Fund,RCC Downtown Amphitheatre,General/Fixed Costs,Misc Fees & Chgs-Rccc/Pac,,,,,15000,8000,20000,21000,4
RCC/PAC Operations Fund,RCC Downtown Amphitheatre,General/Fixed Costs,Pac% Of Income,,,,,5000,33500,20000,20000,4
RCC/PAC Operations Fund,RCC Downtown Amphitheatre,General/Fixed Costs,Performance Catering Income,,,,,,2500,2500,5500,4
RCC/PAC Operations Fund,RCC Downtown Amphitheatre,General/Fixed Costs,Production Fee Income,,,,,90000,62500,62500,380600,4
RCC/PAC Operations Fund,RCC Downtown Amphitheatre,General/Fixed Costs,Rccc Exhibitor Fees,,,,8500,,,,,4
RCC/PAC Operations Fund,RCC Downtown Amphitheatre,General/Fixed Costs,Rccc Ticket Sales,,,,70000,40000,40000,40000,100000,4
RCC/PAC Operations Fund,RCC Downtown Amphitheatre,General/Fixed Costs,Sponsorships,,,,300000,300000,325000,292500,292500,4
RCC/PAC Operations Fund,RCC Downtown Amphitheatre,General/Fixed Costs,Staff Services,,,,11130,12000,20000,12000,12000,4
RCC/PAC Operations Fund,RCC Downtown Amphitheatre,General/Fixed Costs,Ticket Facility Income,,,,160000,160000,200000,225000,250000,4
RCC/PAC Operations Fund,RCC Downtown Amphitheatre,General/Fixed Costs,Ticket Rebate Income,,,,,,,,10000,4
RCC/PAC Operations Fund,RCC Downtown Amphitheatre,General/Fixed Costs Total,,,,,1083230,1117500,1295500,1328500,1993500,3
RCC/PAC Operations Fund,RCC Downtown Amphitheatre Total,,,,,,1083230,1419757,1490591,1697413,2373567,2
RCC/PAC Operations Fund,RCC Facility,Administrative,Fr 230 Self Insurance,,,,,,,81000,20579,4
RCC/PAC Operations Fund,RCC Facility,Administrative,Interest On Investments,,,,,16520,10372,9692,9692,4
RCC/PAC Operations Fund,RCC Facility,Administrative,Misc Fees & Chgs-Rccc/Pac,,,,,590,,,,4
RCC/PAC Operations Fund,RCC Facility,Administrative Total,,,,,,17110,10372,90692,30271,3
RCC/PAC Operations Fund,RCC Facility,Convention Center,Advertising Income,,,,85000,85000,85000,85000,85000,4
RCC/PAC Operations Fund,RCC Facility,Convention Center,Catering/Concession Fees,,,,2130000,2000000,2600000,2500000,2554159,4
RCC/PAC Operations Fund,RCC Facility,Convention Center,Communications Services,,,,133750,230000,240000,250000,250000,4
RCC/PAC Operations Fund,RCC Facility,Convention Center,Credit Card Fee Income,,,,,500,500,1000,1000,4
RCC/PAC Operations Fund,RCC Facility,Convention Center,Equipment Rent,,,,415800,450000,525000,635000,635000,4
RCC/PAC Operations Fund,RCC Facility,Convention Center,Event Personnel Income,,,,149040,135000,85000,100000,65000,4
RCC/PAC Operations Fund,RCC Facility,Convention Center,Events Commission,,,,156160,140000,140000,125000,100000,4
RCC/PAC Operations Fund,RCC Facility,Convention Center,Facility Rent,,,,1025000,1250000,1000000,1000000,1100000,4
RCC/PAC Operations Fund,RCC Facility,Convention Center,Fr 715 Conv Ctr Financing Fund,,,,2604000,2681955,2762584,2846000,1930825,4
