Fund,Department,Program / Account Type,Account Description,Current,Amount,Revenue
General Fund,PRCR - Parks - Urban Trees,Parks Operations,Salaries and Wages,12407.77,739518.68,FALSE
General Fund,PRCR - Parks -Park Maintenance,Ballfields,Capital Equipment,10700,10700,FALSE
General Fund,PRCR - Parks -Park Maintenance,Ballfields,Direct Expenses,69767,237704,FALSE
General Fund,PRCR - Parks -Park Maintenance,Ballfields,Employee Benefits,15040.8,197208.32,FALSE
General Fund,PRCR - Parks -Park Maintenance,Ballfields,Miscellaneous,550,550,FALSE
General Fund,PRCR - Parks -Park Maintenance,Ballfields,Salaries and Wages,33554.13,591804.15,FALSE
General Fund,PRCR - Parks -Park Maintenance,Construction-Parks,Capital Equipment,35900,35900,FALSE
General Fund,PRCR - Parks -Park Maintenance,Construction-Parks,Direct Expenses,-7106,167290,FALSE
General Fund,PRCR - Parks -Park Maintenance,Construction-Parks,Employee Benefits,17415.38,172028.88,FALSE
General Fund,PRCR - Parks -Park Maintenance,Construction-Parks,Miscellaneous,0,49200,FALSE
General Fund,PRCR - Parks -Park Maintenance,Construction-Parks,Salaries and Wages,28162.7,514155.41,FALSE
General Fund,PRCR - Parks -Park Maintenance,District 1-Parks,Direct Expenses,-20594,86512,FALSE
General Fund,PRCR - Parks -Park Maintenance,District 1-Parks,Employee Benefits,868.94,79018.36,FALSE
General Fund,PRCR - Parks -Park Maintenance,District 1-Parks,Salaries and Wages,-167.17,237106.02,FALSE
General Fund,PRCR - Parks -Park Maintenance,District 2-Parks,Direct Expenses,9862,81022,FALSE
General Fund,PRCR - Parks -Park Maintenance,District 2-Parks,Employee Benefits,12746.11,99643.23,FALSE
General Fund,PRCR - Parks -Park Maintenance,District 2-Parks,Salaries and Wages,26108.18,281622.8,FALSE
General Fund,PRCR - Parks -Park Maintenance,District 3-Parks,Direct Expenses,-7491,87356,FALSE
General Fund,PRCR - Parks -Park Maintenance,District 3-Parks,Employee Benefits,5746.09,106507.44,FALSE
General Fund,PRCR - Parks -Park Maintenance,District 3-Parks,Salaries and Wages,-6504.76,283661.1,FALSE
General Fund,PRCR - Parks -Park Maintenance,District 4-Parks,Direct Expenses,-12020,80923,FALSE
General Fund,PRCR - Parks -Park Maintenance,District 4-Parks,Employee Benefits,3052.26,112458.02,FALSE
General Fund,PRCR - Parks -Park Maintenance,District 4-Parks,Salaries and Wages,-4279.8,263717.46,FALSE
General Fund,PRCR - Parks -Park Maintenance,District 5/CBD -Parks,Direct Expenses,-5194,89966,FALSE
General Fund,PRCR - Parks -Park Maintenance,District 5/CBD -Parks,Employee Benefits,9828.63,147603.3,FALSE
General Fund,PRCR - Parks -Park Maintenance,District 5/CBD -Parks,Salaries and Wages,16097.57,460386.73,FALSE
General Fund,PRCR - Parks -Park Maintenance,District 6-Parks,Capital Equipment,25500,25500,FALSE
General Fund,PRCR - Parks -Park Maintenance,District 6-Parks,Direct Expenses,18408,82215,FALSE
General Fund,PRCR - Parks -Park Maintenance,District 6-Parks,Employee Benefits,12632.9,110398.79,FALSE
General Fund,PRCR - Parks -Park Maintenance,District 6-Parks,Salaries and Wages,-4653.32,293460.41,FALSE
General Fund,PRCR - Parks -Park Maintenance,Greenhouse-Parks,Direct Expenses,1497,99522,FALSE
General Fund,PRCR - Parks -Park Maintenance,Greenhouse-Parks,Employee Benefits,1815.06,26561.3,FALSE
General Fund,PRCR - Parks -Park Maintenance,Greenhouse-Parks,Miscellaneous,0,3000,FALSE
General Fund,PRCR - Parks -Park Maintenance,Greenhouse-Parks,Salaries and Wages,3881.08,119503.86,FALSE
General Fund,PRCR - Parks -Park Maintenance,Machine Shop,Capital Equipment,-3302,41823,FALSE
General Fund,PRCR - Parks -Park Maintenance,Machine Shop,Direct Expenses,16532,202647,FALSE
General Fund,PRCR - Parks -Park Maintenance,Machine Shop,Employee Benefits,6820.01,81282.09,FALSE
General Fund,PRCR - Parks -Park Maintenance,Machine Shop,Salaries and Wages,31563.73,297975.39,FALSE
General Fund,PRCR - Parks -Park Maintenance,Parks Operations,Direct Expenses,-35725,226976,FALSE
General Fund,PRCR - Parks -Park Maintenance,Parks Operations,Employee Benefits,13819.24,168680.81,FALSE
General Fund,PRCR - Parks -Park Maintenance,Parks Operations,Miscellaneous,408,12082,FALSE
General Fund,PRCR - Parks -Park Maintenance,Parks Operations,Salaries and Wages,12161.75,681375.39,FALSE
General Fund,PRCR - Parks -Park Maintenance,Playgrounds,Capital Equipment,2000,2000,FALSE
General Fund,PRCR - Parks -Park Maintenance,Playgrounds,Direct Expenses,45024,135244,FALSE
General Fund,PRCR - Parks -Park Maintenance,Playgrounds,Employee Benefits,22015.22,80604.73,FALSE
General Fund,PRCR - Parks -Park Maintenance,Playgrounds,Miscellaneous,1200,2700,FALSE
General Fund,PRCR - Parks -Park Maintenance,Playgrounds,Salaries and Wages,52922.57,215783.23,FALSE
General Fund,PRCR - Parks -Park Maintenance,Pullen Park Maint,Direct Expenses,13215,138551,FALSE
General Fund,PRCR - Parks -Park Maintenance,Pullen Park Maint,Employee Benefits,9585.38,149598.61,FALSE
General Fund,PRCR - Parks -Park Maintenance,Pullen Park Maint,Salaries and Wages,33500.62,496226.03,FALSE
General Fund,PRCR - Parks -Park Maintenance,Refuse-Parks,Direct Expenses,-4793,105155,FALSE
General Fund,PRCR - Parks -Park Maintenance,Refuse-Parks,Employee Benefits,4362.46,49720.83,FALSE
General Fund,PRCR - Parks -Park Maintenance,Refuse-Parks,Miscellaneous,500,500,FALSE
General Fund,PRCR - Parks -Park Maintenance,Refuse-Parks,Salaries and Wages,7860.92,148468.63,FALSE
General Fund,PRCR - Parks -Park Maintenance,Small Area Maint-Parks,Direct Expenses,9457,49321,FALSE
General Fund,PRCR - Parks -Park Maintenance,Small Area Maint-Parks,Employee Benefits,4694.56,23933.93,FALSE
General Fund,PRCR - Parks -Park Maintenance,Small Area Maint-Parks,Salaries and Wages,485.16,112398.98,FALSE
General Fund,PRCR - Parks -Park Maintenance,Special Events-Parks,Direct Expenses,349,21475,FALSE
General Fund,PRCR - Parks -Park Maintenance,Special Events-Parks,Employee Benefits,579.59,40118.57,FALSE
General Fund,PRCR - Parks -Park Maintenance,Special Events-Parks,Salaries and Wages,3136.39,128788.22,FALSE
General Fund,PRCR - Parks -Park Maintenance,Volunteer Svcs-P&R,Direct Expenses,11749,22680,FALSE
General Fund,PRCR - Parks -Park Maintenance,Volunteer Svcs-P&R,Employee Benefits,15110.41,43504.56,FALSE
General Fund,PRCR - Parks -Park Maintenance,Volunteer Svcs-P&R,Miscellaneous,1208.51,4134.51,FALSE
General Fund,PRCR - Parks -Park Maintenance,Volunteer Svcs-P&R,Salaries and Wages,36705.99,155712.84,FALSE
General Fund,PRCR - Recreation,Adm-Leisure Svcs,Direct Expenses,51764,1108294,FALSE
General Fund,PRCR - Recreation,Adm-Leisure Svcs,Employee Benefits,-52188.95,171476.37,FALSE
General Fund,PRCR - Recreation,Adm-Leisure Svcs,Miscellaneous,4250,11650,FALSE
General Fund,PRCR - Recreation,Adm-Leisure Svcs,Salaries and Wages,41927.99,608554.45,FALSE
General Fund,PRCR - Recreation,Aquatics Administration,Direct Expenses,-14,42152.44,FALSE
General Fund,PRCR - Recreation,Aquatics Administration,Employee Benefits,-5040.44,48326.32,FALSE
General Fund,PRCR - Recreation,Aquatics Administration,Miscellaneous,5500,8825,FALSE
General Fund,PRCR - Recreation,Aquatics Administration,Salaries and Wages,3793.71,195019.9,FALSE
General Fund,PRCR - Recreation,Athletics,Direct Expenses,93023,379023,FALSE
General Fund,PRCR - Recreation,Athletics,Employee Benefits,3839.5,101466.14,FALSE
General Fund,PRCR - Recreation,Athletics,Miscellaneous,0,14250,FALSE
General Fund,PRCR - Recreation,Athletics,Salaries and Wages,-73828.58,466052.02,FALSE
General Fund,PRCR - Recreation,Community Ctrs,Capital Equipment,30500,30500,FALSE
General Fund,PRCR - Recreation,Community Ctrs,Direct Expenses,42805,149686,FALSE
General Fund,PRCR - Recreation,Community Ctrs,Employee Benefits,66284.82,911494.32,FALSE
General Fund,PRCR - Recreation,Community Ctrs,Miscellaneous,750,15167,FALSE
General Fund,PRCR - Recreation,Community Ctrs,Salaries and Wages,271840.55,3667556.42,FALSE
General Fund,PRCR - Recreation,Esl Program,Direct Expenses,739,4578.73,FALSE
General Fund,PRCR - Recreation,Esl Program,Employee Benefits,-3713.52,31753.28,FALSE
General Fund,PRCR - Recreation,Esl Program,Miscellaneous,0,1600,FALSE
General Fund,PRCR - Recreation,Esl Program,Salaries and Wages,3086.78,112768.24,FALSE
General Fund,PRCR - Recreation,Pool Facility,Direct Expenses,-5517,112845,FALSE
General Fund,PRCR - Recreation,Pool Facility,Employee Benefits,9724.6,297058.89,FALSE
General Fund,PRCR - Recreation,Pool Facility,Miscellaneous,-4000,6375,FALSE
General Fund,PRCR - Recreation,Pool Facility,Salaries and Wages,117435.07,1723182.11,FALSE
General Fund,PRCR - Recreation,Recreation Business Support,Direct Expenses,1246,55311,FALSE
General Fund,PRCR - Recreation,Recreation Business Support,Employee Benefits,35955.75,43902.04,FALSE
General Fund,PRCR - Recreation,Recreation Business Support,Miscellaneous,0,300,FALSE
General Fund,PRCR - Recreation,Recreation Business Support,Salaries and Wages,53869.09,157742.09,FALSE
General Fund,PRCR - Recreation,Seasonal Pools,Direct Expenses,0,52322,FALSE
General Fund,PRCR - Recreation,Seasonal Pools,Employee Benefits,-3515.48,21599.47,FALSE
General Fund,PRCR - Recreation,Seasonal Pools,Miscellaneous,-500,3500,FALSE
General Fund,PRCR - Recreation,Seasonal Pools,Salaries and Wages,-45954,282346,FALSE
General Fund,PRCR - Recreation,Senior Citizens,Direct Expenses,64,18040,FALSE
General Fund,PRCR - Recreation,Senior Citizens,Employee Benefits,-6085.86,71586.13,FALSE
General Fund,PRCR - Recreation,Senior Citizens,Miscellaneous,-50,2500,FALSE
General Fund,PRCR - Recreation,Senior Citizens,Salaries and Wages,-29449.84,286727.91,FALSE
General Fund,PRCR - Recreation,Special Events,Direct Expenses,0,6600,FALSE
General Fund,PRCR - Recreation,Special Events,Employee Benefits,0,,FALSE
General Fund,PRCR - Recreation,Special Events,Salaries and Wages,0,,FALSE
General Fund,PRCR - Recreation,Special Programs,Direct Expenses,0,239358,FALSE
General Fund,PRCR - Recreation,Specialized Recreation,Direct Expenses,2488,10278,FALSE
General Fund,PRCR - Recreation,Specialized Recreation,Employee Benefits,8480.42,127201.42,FALSE
General Fund,PRCR - Recreation,Specialized Recreation,Miscellaneous,-140,3750,FALSE
General Fund,PRCR - Recreation,Specialized Recreation,Salaries and Wages,109146.06,560217.52,FALSE
General Fund,PRCR - Recreation,Teen Programs,Direct Expenses,-5722,27995,FALSE
General Fund,PRCR - Recreation,Teen Programs,Employee Benefits,-56.69,83446.29,FALSE
General Fund,PRCR - Recreation,Teen Programs,Interfund Transfers In/Out,28005,28005,FALSE
General Fund,PRCR - Recreation,Teen Programs,Miscellaneous,-1500,2000,FALSE
General Fund,PRCR - Recreation,Teen Programs,Salaries and Wages,-15360.04,458766.23,FALSE
General Fund,PRCR - Recreation,Tennis,Employee Benefits,6532.83,58666.9,FALSE
General Fund,PRCR - Recreation,Tennis,Salaries and Wages,2868.66,225696.06,FALSE
General Fund,PRCR - Recreation,Visual/Hearing Impaired,Direct Expenses,-450,3000,FALSE
General Fund,PRCR - Recreation,Visual/Hearing Impaired,Employee Benefits,-217.94,1165.4,FALSE
General Fund,PRCR - Recreation,Visual/Hearing Impaired,Miscellaneous,-1000,,FALSE
General Fund,PRCR - Recreation,Visual/Hearing Impaired,Salaries and Wages,-2848.86,15234,FALSE
General Fund,PRCR - Recreation,Youth Programs,Direct Expenses,-14002,206202,FALSE
General Fund,PRCR - Recreation,Youth Programs,Employee Benefits,6553.66,132404.5,FALSE
General Fund,PRCR - Recreation,Youth Programs,Miscellaneous,-2000,3000,FALSE
General Fund,PRCR - Recreation,Youth Programs,Salaries and Wages,62374.07,869698.88,FALSE
General Fund,PRCR - Recreation-School Based,Youth Programs,Direct Expenses,-28107,207502,FALSE
General Fund,PRCR - Recreation-School Based,Youth Programs,Employee Benefits,-3972.6,205669.73,FALSE
General Fund,PRCR - Recreation-School Based,Youth Programs,Miscellaneous,-2000,6500,FALSE
General Fund,PRCR - Recreation-School Based,Youth Programs,Other Expense,1000,3000,FALSE
General Fund,PRCR - Recreation-School Based,Youth Programs,Salaries and Wages,44242.73,1116791.7,FALSE
General Fund,PRCR - Resources,Adm-Leisure Svcs,Direct Expenses,19117,100742,FALSE
General Fund,PRCR - Resources,Adm-Leisure Svcs,Employee Benefits,1395.11,45613.8,FALSE
General Fund,PRCR - Resources,Adm-Leisure Svcs,Miscellaneous,-1250,1100,FALSE
General Fund,PRCR - Resources,Adm-Leisure Svcs,Salaries and Wages,3362.36,183287.57,FALSE
General Fund,PRCR - Resources,Compliance/Staff Development,Direct Expenses,-1266,34126,FALSE
General Fund,PRCR - Resources,Compliance/Staff Development,Employee Benefits,-2022.84,55541.46,FALSE
General Fund,PRCR - Resources,Compliance/Staff Development,Miscellaneous,266,84144,FALSE
General Fund,PRCR - Resources,Compliance/Staff Development,Salaries and Wages,-14445.04,240301.02,FALSE
General Fund,PRCR - Resources,Historic Resource & Museum Op,Capital Equipment,15000,15000,FALSE
General Fund,PRCR - Resources,Historic Resource & Museum Op,Direct Expenses,-7982,262322,FALSE
General Fund,PRCR - Resources,Historic Resource & Museum Op,Employee Benefits,1681.93,205140.64,FALSE
General Fund,PRCR - Resources,Historic Resource & Museum Op,Miscellaneous,1900,12150,FALSE
General Fund,PRCR - Resources,Historic Resource & Museum Op,Salaries and Wages,26900,1037789.83,FALSE
General Fund,PRCR - Resources,Lake Facility,Capital Equipment,15000,15000,FALSE
General Fund,PRCR - Resources,Lake Facility,Direct Expenses,2134,68917,FALSE
General Fund,PRCR - Resources,Lake Facility,Employee Benefits,14770.31,86373.92,FALSE
General Fund,PRCR - Resources,Lake Facility,Miscellaneous,-1000,28625,FALSE
General Fund,PRCR - Resources,Lake Facility,Salaries and Wages,31786.86,417136.99,FALSE
General Fund,PRCR - Resources,Nature Program,Direct Expenses,-43293,68093,FALSE
General Fund,PRCR - Resources,Nature Program,Employee Benefits,33765.41,161415.43,FALSE
General Fund,PRCR - Resources,Nature Program,Miscellaneous,-1120,8845,FALSE
General Fund,PRCR - Resources,Nature Program,Salaries and Wages,57085.54,629738.32,FALSE
General Fund,PRCR - Resources,Outdoor Recreation,Capital Equipment,0,12428,FALSE
General Fund,PRCR - Resources,Outdoor Recreation,Direct Expenses,-38516,10513,FALSE
General Fund,PRCR - Resources,Outdoor Recreation,Employee Benefits,11549.49,47690.54,FALSE
General Fund,PRCR - Resources,Outdoor Recreation,Miscellaneous,0,2950,FALSE
General Fund,PRCR - Resources,Outdoor Recreation,Salaries and Wages,32064.55,174055.46,FALSE
General Fund,PRCR - Resources,Project Phoenix,Direct Expenses,11770,26852,FALSE
General Fund,PRCR - Resources,Project Phoenix,Employee Benefits,489.83,19231.14,FALSE
General Fund,PRCR - Resources,Project Phoenix,Miscellaneous,0,1000,FALSE
General Fund,PRCR - Resources,Project Phoenix,Salaries and Wages,1391.77,90353.03,FALSE
General Fund,PRCR - Resources,Raleigh Arts,Direct Expenses,3696,52904,FALSE
General Fund,PRCR - Resources,Raleigh Arts,Employee Benefits,16633.25,199584.81,FALSE
General Fund,PRCR - Resources,Raleigh Arts,Miscellaneous,241,11632,FALSE
General Fund,PRCR - Resources,Raleigh Arts,Salaries and Wages,38114.04,687542.65,FALSE
General Fund,PRCR - Resources,Safety Program-P&R,Direct Expenses,1918,42351.2,FALSE
General Fund,PRCR - Resources,Safety Program-P&R,Employee Benefits,6284.84,52506.68,FALSE
General Fund,PRCR - Resources,Safety Program-P&R,Miscellaneous,2600,12085,FALSE
General Fund,PRCR - Resources,Safety Program-P&R,Salaries and Wages,4261.09,150666.05,FALSE
General Fund,PRCR - Strategic Plan & Devel,Adm-Leisure Svcs,Salaries and Wages,-4303,,FALSE
General Fund,PRCR - Strategic Plan & Devel,Design Development,Direct Expenses,2214,46025,FALSE
General Fund,PRCR - Strategic Plan & Devel,Design Development,Employee Benefits,-22395.77,254323.3,FALSE
General Fund,PRCR - Strategic Plan & Devel,Design Development,Miscellaneous,-1605,10384,FALSE
General Fund,PRCR - Strategic Plan & Devel,Design Development,Salaries and Wages,-68875.99,924860.67,FALSE
General Fund,PRCR - Strategic Plan & Devel,PRCR Technology,Direct Expenses,-8284,27018,FALSE
General Fund,PRCR - Strategic Plan & Devel,PRCR Technology,Employee Benefits,8862.27,116724.33,FALSE
General Fund,PRCR - Strategic Plan & Devel,PRCR Technology,Miscellaneous,1800,8900,FALSE
General Fund,PRCR - Strategic Plan & Devel,PRCR Technology,Salaries and Wages,73883.09,444394.18,FALSE
General Fund,PRCR - Strategic Plan & Devel,Strategic Plan & Communication,Direct Expenses,759,481283,FALSE
General Fund,PRCR - Strategic Plan & Devel,Strategic Plan & Communication,Employee Benefits,16944.17,138427.34,FALSE
General Fund,PRCR - Strategic Plan & Devel,Strategic Plan & Communication,Miscellaneous,2975,8795,FALSE
General Fund,PRCR - Strategic Plan & Devel,Strategic Plan & Communication,Salaries and Wages,57645.58,459476.3,FALSE
General Fund,Public Affairs,Adm-General Govt,Capital Equipment,-7000,10000,FALSE
General Fund,Public Affairs,Adm-General Govt,Direct Expenses,-24787,140758,FALSE
General Fund,Public Affairs,Adm-General Govt,Employee Benefits,27802.17,236601.26,FALSE
General Fund,Public Affairs,Adm-General Govt,Miscellaneous,-70,35300,FALSE
General Fund,Public Affairs,Adm-General Govt,Salaries and Wages,126217.7,880631.54,FALSE
General Fund,Public Affairs,Print Services,Direct Expenses,0,0,FALSE
General Fund,Public Affairs-RTN,Public Affairs Ctv,Direct Expenses,9321,120133,FALSE
General Fund,Public Affairs-RTN,Public Affairs Ctv,Employee Benefits,6544.43,130128.64,FALSE
General Fund,Public Affairs-RTN,Public Affairs Ctv,Miscellaneous,0,6500,FALSE
General Fund,Public Affairs-RTN,Public Affairs Ctv,Salaries and Wages,-5033.94,437787.21,FALSE
General Fund,Public Works,Adm-Comm Dev Svcs,Direct Expenses,-2106,12455,FALSE
General Fund,Public Works,Adm-Comm Dev Svcs,Employee Benefits,-3193.81,147257.02,FALSE
General Fund,Public Works,Adm-Comm Dev Svcs,Miscellaneous,-2000,20800,FALSE
General Fund,Public Works,Adm-Comm Dev Svcs,Other Expense,1788,461360,FALSE
General Fund,Public Works,Adm-Comm Dev Svcs,Salaries and Wages,6073.75,500062.96,FALSE
General Fund,Public Works,Cadd Services-Pw,Direct Expenses,-214,38559,FALSE
General Fund,Public Works,Cadd Services-Pw,Employee Benefits,-18636.49,106708.53,FALSE
General Fund,Public Works,Cadd Services-Pw,Miscellaneous,0,22000,FALSE
General Fund,Public Works,Cadd Services-Pw,Salaries and Wages,-49140.91,302677.97,FALSE
General Fund,Public Works,Design/Construction,Direct Expenses,-2504,14213,FALSE
General Fund,Public Works,Design/Construction,Employee Benefits,22814.64,117534,FALSE
General Fund,Public Works,Design/Construction,Miscellaneous,-1800,3850,FALSE
General Fund,Public Works,Design/Construction,Salaries and Wages,63867.02,326688.5,FALSE
General Fund,Public Works,Inspections Prog-Eng,Direct Expenses,99,73784,FALSE
General Fund,Public Works,Inspections Prog-Eng,Employee Benefits,3894.9,134738.96,FALSE
General Fund,Public Works,Inspections Prog-Eng,Miscellaneous,300,2050,FALSE
General Fund,Public Works,Inspections Prog-Eng,Salaries and Wages,-20136,420850.78,FALSE
General Fund,Public Works,Roadway,Direct Expenses,559,15612,FALSE
General Fund,Public Works,Roadway,Employee Benefits,18951.07,163677.29,FALSE
General Fund,Public Works,Roadway,Miscellaneous,475,3625,FALSE
General Fund,Public Works,Roadway,Salaries and Wages,36352.08,534242.33,FALSE
General Fund,Public Works,Signs & Markings-Tr,Capital Equipment,0,500,FALSE
General Fund,Public Works,Signs & Markings-Tr,Direct Expenses,130732.28,620211.36,FALSE
General Fund,Public Works,Signs & Markings-Tr,Employee Benefits,14428.26,210856.1,FALSE
General Fund,Public Works,Signs & Markings-Tr,Interfund Transfers In/Out,0,300,FALSE
General Fund,Public Works,Signs & Markings-Tr,Miscellaneous,0,1000,FALSE
General Fund,Public Works,Signs & Markings-Tr,Salaries and Wages,56330.14,623942.53,FALSE
General Fund,Public Works,Survey Services-Pw,Capital Equipment,0,10000,FALSE
General Fund,Public Works,Survey Services-Pw,Direct Expenses,-7857.5,65991.5,FALSE
General Fund,Public Works,Survey Services-Pw,Employee Benefits,226.62,182362.55,FALSE
General Fund,Public Works,Survey Services-Pw,Miscellaneous,0,2100,FALSE
General Fund,Public Works,Survey Services-Pw,Salaries and Wages,2849.88,550085.29,FALSE
General Fund,Public Works,Traffic Signals-Tr,Direct Expenses,5941.52,736893.64,FALSE
General Fund,Public Works,Traffic Signals-Tr,Employee Benefits,36576.85,373996.64,FALSE
General Fund,Public Works,Traffic Signals-Tr,Interfund Transfers In/Out,0,800,FALSE
General Fund,Public Works,Traffic Signals-Tr,Miscellaneous,0,6000,FALSE
General Fund,Public Works,Traffic Signals-Tr,Salaries and Wages,72241.01,1158456.34,FALSE
General Fund,Public Works,Transportation Operations-Pw,Direct Expenses,-6344.2,5902723.76,FALSE
General Fund,Public Works,Transportation Operations-Pw,Employee Benefits,-1107.36,163633.81,FALSE
General Fund,Public Works,Transportation Operations-Pw,Miscellaneous,200,9600,FALSE
General Fund,Public Works,Transportation Operations-Pw,Other Expense,-91291,,FALSE
General Fund,Public Works,Transportation Operations-Pw,Salaries and Wages,-29229.66,580423.02,FALSE
General Fund,Purchasing,Adm-Finance,Direct Expenses,50700,70200,FALSE
General Fund,Purchasing,Adm-Finance,Employee Benefits,104.33,113564.98,FALSE
General Fund,Purchasing,Adm-Finance,Miscellaneous,-3200,10500,FALSE
General Fund,Purchasing,Adm-Finance,Salaries and Wages,78921.49,507783.99,FALSE
General Fund,PW-Safelight,Safelight Program,Direct Expenses,1,667454,FALSE
General Fund,PW-Safelight,Safelight Program,Employee Benefits,-6222.51,16243.18,FALSE
General Fund,PW-Safelight,Safelight Program,Miscellaneous,-9700,6800,FALSE
General Fund,PW-Safelight,Safelight Program,Salaries and Wages,-19704.44,52125,FALSE
General Fund,Revenue,Adm-Finance,Direct Expenses,26831,276569.35,FALSE
General Fund,Revenue,Adm-Finance,Employee Benefits,-2604.72,231333.23,FALSE
General Fund,Revenue,Adm-Finance,Miscellaneous,572,20072,FALSE
General Fund,Revenue,Adm-Finance,Salaries and Wages,-72157.7,741021.03,FALSE
General Fund,Special Appropriations,Fringe Benefit Consultant,Direct Expenses,-13000,70000,FALSE
General Fund,Special Appropriations,Non-Program Revenues,Interfund Transfers In/Out,425000,425000,FALSE
General Fund,Special Appropriations,Special Approp,Direct Expenses,-78454.15,2462289.45,FALSE
General Fund,Special Appropriations,Special Approp,Employee Benefits,137597.81,10106787,FALSE
General Fund,Special Appropriations,Special Approp,Interfund Transfers In/Out,7162858.13,111035197,FALSE
General Fund,Special Appropriations,Special Approp,Miscellaneous,0,293785,FALSE
General Fund,Special Appropriations,Special Approp,Other Expense,311462,3668840,FALSE
General Fund,Stormwater Street Maintenance,Storm System Drainage Maintena,Capital Equipment,0,2500,FALSE
General Fund,Stormwater Street Maintenance,Storm System Drainage Maintena,Direct Expenses,98842,858867,FALSE
General Fund,Stormwater Street Maintenance,Storm System Drainage Maintena,Employee Benefits,2724.04,544361.23,FALSE
General Fund,Stormwater Street Maintenance,Storm System Drainage Maintena,Miscellaneous,0,7000,FALSE
General Fund,Stormwater Street Maintenance,Storm System Drainage Maintena,Other Expense,-6107,50694,FALSE
General Fund,Stormwater Street Maintenance,Storm System Drainage Maintena,Salaries and Wages,12804.63,1625738.08,FALSE
General Fund,Transportation Field Services,Storm System Drainage Maintena,Employee Benefits,-12013.98,,FALSE
General Fund,Transportation Field Services,Storm System Drainage Maintena,Salaries and Wages,-29781.98,,FALSE
General Fund,Transportation Field Services,Street Maintenance,Capital Equipment,-10000,26000,FALSE
General Fund,Transportation Field Services,Street Maintenance,Direct Expenses,-57584,4362055,FALSE
General Fund,Transportation Field Services,Street Maintenance,Employee Benefits,130269.17,1612050.92,FALSE
General Fund,Transportation Field Services,Street Maintenance,Interfund Transfers In/Out,0,16950,FALSE
General Fund,Transportation Field Services,Street Maintenance,Miscellaneous,0,101000,FALSE
General Fund,Transportation Field Services,Street Maintenance,Other Expense,70000,70000,FALSE
General Fund,Transportation Field Services,Street Maintenance,Salaries and Wages,348307.55,4889167.31,FALSE
General Fund,Treasury Office,Adm-Finance,Direct Expenses,-1250,180350,FALSE
General Fund,Treasury Office,Adm-Finance,Employee Benefits,-20551.92,82991.61,FALSE
General Fund,Treasury Office,Adm-Finance,Miscellaneous,-400,7200,FALSE
General Fund,Treasury Office,Adm-Finance,Salaries and Wages,-94378.55,282596.46,FALSE
Grants Fund,Community Svcs,Grant Year 2013/2014,Employee Benefits,12180.38,12180.38,FALSE
Grants Fund,Community Svcs,Grant Year 2013/2014,Salaries and Wages,43623.02,43623.02,FALSE
Grants Fund,Community Svcs,Grant Year 2015/2016,Direct Expenses,7327,7327,FALSE
Grants Fund,Community Svcs,Grant Year 2015/2016,Miscellaneous,16371.6,16371.6,FALSE
Grants Fund,Community Svcs,Grant Year 2015/2016,Other Expense,307738,307738,FALSE
Grants Fund,Police Administrative Services,Grant Year 2015/2016,Employee Benefits,4124,4124,FALSE
Grants Fund,Police Administrative Services,Grant Year 2015/2016,Salaries and Wages,20000,20000,FALSE
Grants Fund,PRCR - Business Process Mgmt,Grant Year 2015/2016,Direct Expenses,9656,9656,FALSE
Grants Fund,PRCR - Business Process Mgmt,Grant Year 2015/2016,Employee Benefits,7849,7849,FALSE
Grants Fund,PRCR - Business Process Mgmt,Grant Year 2015/2016,Miscellaneous,1250,1250,FALSE
Grants Fund,PRCR - Business Process Mgmt,Grant Year 2015/2016,Salaries and Wages,102600,102600,FALSE
Grants Fund,Public Works-Transportaion,Grant Year 2015/2016,Direct Expenses,361000,361000,FALSE
Grants Fund,Public Works-Transportaion,Grant Year 2015/2016,Employee Benefits,150514,150514,FALSE
Grants Fund,Public Works-Transportaion,Grant Year 2015/2016,Miscellaneous,66271,66271,FALSE
Grants Fund,Public Works-Transportaion,Grant Year 2015/2016,Other Expense,900,900,FALSE
Grants Fund,Public Works-Transportaion,Grant Year 2015/2016,Salaries and Wages,506591,506591,FALSE
Home Grant,Community Development,HOME Administration,Interfund Transfers In/Out,23892,23892,FALSE
Home Grant,Community Development,HOME Administration,Other Expense,124666,124666,FALSE
Home Grant,Community Development,Non Program Expenditures,Employee Benefits,-23449,,FALSE
Home Grant,Community Development,Non Program Expenditures,Interfund Transfers In/Out,-18930,,FALSE
Home Grant,Community Development,Non Program Expenditures,Other Expense,-41641,1555284,FALSE
Home Grant,Community Development,Non Program Expenditures,Salaries and Wages,-86005,,FALSE
Housing Development-Operating,Community Development,Grant Year 2013/2014,Employee Benefits,916550,,FALSE
Housing Development-Operating,Community Development,Homeless Housing Svcs,Direct Expenses,0,50000,FALSE
Housing Development-Operating,Community Development,Housing Programs,Capital Equipment,0,300,FALSE
Housing Development-Operating,Community Development,Housing Programs,Direct Expenses,38160.11,163114.11,FALSE
Housing Development-Operating,Community Development,Housing Programs,Employee Benefits,-46060.08,369962.22,FALSE
Housing Development-Operating,Community Development,Housing Programs,Interfund Transfers In/Out,-21703,274158,FALSE
Housing Development-Operating,Community Development,Housing Programs,Miscellaneous,8373.32,27583.32,FALSE
Housing Development-Operating,Community Development,Housing Programs,Other Expense,-975856,-780856,FALSE
Housing Development-Operating,Community Development,Housing Programs,Salaries and Wages,-120867.35,1239368.35,FALSE
