Fund,Department,Division,Account,Amount,Current,Revenue,Annotation
General Fund,City Manager,Salaries and Wages,Salaries-Pt Temp/Seasonal,196,19841,false,0
General Fund,PRCR - Parks -Park Maintenance,Capital Equipment,Snow Removal Equip,19900,19900,false,0
General Fund,IT Enterprise Infrastructure M,Salaries and Wages,Longevity,-3566.49,19938.42,false,0
Community Dev Block Grant,Community Development,Other Expense,Fair Housing - Gr,0,20000,false,0
General Fund,City Clerk,Direct Expenses,Contractual Svcs-Other,0,20000,false,0
General Fund,Community Svcs,Other Expense,Human Service Agencies,0,20000,false,0
General Fund,Fire Operations,Miscellaneous,Training & Travel & Reg,0,20000,false,0
General Fund,Information Technology Admin,Other Expense,Stipened - Gr,19999,20000,false,0
General Fund,Neighborhood Code Enforcement,Miscellaneous,Advertising,-5000,20000,false,0
General Fund,Office of Emerg Mgmt & Spec Ev,Direct Expenses,Contractual Svcs-Other,0,20000,false,0
General Fund,Planning,Miscellaneous,Postage - Dept Charges,-22000,20000,false,0
General Fund,Police Administrative Services,Direct Expenses,Repairs-Other Equip,0,20000,false,0
General Fund,PRCR - Business Process Mgmt,Direct Expenses,Rsv-Wide Area Network,-14000,20000,false,0
General Fund,PRCR - Parks - Highway Maint,Direct Expenses,Operational & Maint Supplies,0,20000,false,0
General Fund,PRCR - Recreation,Miscellaneous,Licenses/Dues & Publications,-50,20000,false,0
General Fund,Transportation Field Services,Direct Expenses,Repairs-Bldg/Structure,0,20000,false,0
General Fund,Transportation Field Services,Miscellaneous,Training & Travel & Reg,0,20000,false,0
Grants Fund,Police Administrative Services,Salaries and Wages,Salaries-Ot For Ft Staff,20000,20000,false,0
Home Grant,Community Development,Other Expense,Service Fees - Gr,0,20000,false,0
Parking Debt Service Fund,Treasury Office,Direct Expenses,Professional Svcs-Other,0,20000,false,0
Public Utilities Fund,PU Capital Improvement Mgmt,Salaries and Wages,Expense Allowance,0,20000,false,0
Rcc/Pac Operations Fund,Performing Arts Center,Other Expense,RCC/ PAC Catering/Entertain Ex,-34400,20000,false,0
Rcc/Pac Operations Fund,RCC Downtown Amphitheatre,Direct Expenses,Electric Service,0,20000,false,0
Rcc/Pac Operations Fund,RCC Downtown Amphitheatre,Salaries and Wages,Event Personnel-Temp,15000,20000,false,0
Rcc/Pac Operations Fund,RCC Facility,Direct Expenses,Vehicle Maint & Operation,0,20000,false,0
Rcc/Pac Operations Fund,RCC Facility,Other Expense,RCC/ PAC Miscellaneous Exp,10000,20000,false,0
Rcc/Pac Operations Fund,RCC Facility,Salaries and Wages,Event Personnel-Temp,-30000,20000,false,0
Revolving Fund,Community Svcs,Direct Expenses,Operational & Maint Supplies,0,20000,false,0
Revolving Fund,PRCR - Parks -Park Maintenance,Direct Expenses,Operational & Maint Supplies,-5000,20000,false,0
Stormwater Utility Fund,Stormwater Management,Other Expense,Penalty Pmts Due Wcpss (90% Of,-5000,20000,false,0
SWS Operating Fund,Solid Waste Yardwaste Ctr,Direct Expenses,Rental-Equipment,0,20000,false,0
SWS Operating Fund,Solid Waste Yardwaste Ctr,Direct Expenses,Repairs-Bldg/Structure,10000,20000,false,0
Transit CAMPO Fund,Planning  - CAMPO,Salaries and Wages,Salaries-Pt Temp/Seasonal,-2414.02,20000,false,0
General Fund,Information Technology Admin,Community Tech Outreach-IT,Donations/Contributions,20000,20000,true,0
General Fund,Planning,Non-Program Revenues,Planning Dept Misc Revenue,5000,20000,true,0
Grants Fund,Police Administrative Services,Grant Year 2015/2016,Federal Grants,20000,20000,true,0
Rcc/Pac Operations Fund,Performing Arts Center,Performing Arts Center,Performance Catering Income,-34400,20000,true,0
Rcc/Pac Operations Fund,RCC Downtown Amphitheatre,General/Fixed Costs,Pac% Of Income,0,20000,true,0
Revolving Fund,PRCR - Recreation,Anderson Point,Approp From Prior Year,0,20000,true,0
Revolving Fund,PRCR - Recreation,Tennis,Approp From Prior Year,-5000,20000,true,0
Stormwater Utility Fund,Stormwater Management,Non-Program Revenues,Soil Erosion Penalty (Wcpss 90,0,20000,true,0
General Fund,PRCR - Parks - Greenway Maint,Employee Benefits,Supplemental Retirement,-5462.8,20047.16,false,0
Parking Facilities Fund-Operat,Parking Operations,Employee Benefits,Medicare,-112.07,20139.77,false,0
SWS Operating Fund,Solid Waste Yardwaste Ctr,Employee Benefits,Retirement,-1088.88,20183.7,false,0
Revolving Fund,Planning,Ral Historic District Loan Fun,Raleigh Historic District Loan,20235,20235,true,0
General Fund,PRCR - Resources,Employee Benefits,Employee Benefits,20244,20244,false,0
General Fund,Accounting & Fin Reporting,Employee Benefits,Medicare,1496.3,20299.68,false,0
General Fund,City Clerk,Employee Benefits,Social Security,556.84,20357.57,false,0
Stormwater Utility Fund,Stormwater Management,Other Expense,To ISF-Prop/Liab Claims,-9376,20444,false,0
Transit CAMPO Fund,Planning  - CAMPO,Employee Benefits,Supplemental Retirement,-1875.65,20483,false,0
Public Utilities Fund,PU Water Distribution,Direct Expenses,Repairs-Other Equip,-10500,20500,false,0
General Fund,Police Administrative Services,Salaries and Wages,Salaries-Pt Temp/Seasonal,203,20503,false,0
Rcc/Pac Operations Fund,RCC Facility,Administrative,Fr 230 Self Insurance,-60421,20579,true,0
General Fund,Accounting & Fin Reporting,Miscellaneous,Training & Travel & Reg,-4000,20600,false,0
Public Utilities Fund,PU Capital Improvement Mgmt,Direct Expenses,Vehicle Maint & Operation,0,20600,false,0
General Fund,Special Appropriations,Other Expense,To ISF-WC Excess Premium,-781,20607,false,0
General Fund,Public Works,Direct Expenses,Wireless Data Comm,62,20676,false,0
Public Utilities Fund,Resource Recovery,Direct Expenses,Wan Data Line,-4560,20681,false,0
Public Utilities Fund,PU Water Plant,Direct Expenses,Wan Data Line,-12564,20700,false,0
General Fund,Fire Support Svcs,Direct Expenses,Equipment Usage Charge,16810,20710,false,0
SWS Operating Fund,Solid Waste Admin,Employee Benefits,Medicare,212.42,20849.81,false,0
Rcc/Pac Operations Fund,RCC Facility,Employee Benefits,Opeb- Post Employment Benefits,-46118.38,20860,false,0
General Fund,Community Svcs,Employee Benefits,Supplemental Retirement,-776.19,20915.04,false,0
Public Utilities Fund,PU Meters,Direct Expenses,Small Equipment,0,21000,false,0
Public Utilities Fund,PU Water Distribution,Capital Equipment,Safety/Hazmat Equip,0,21000,false,0
Public Utilities Fund,PU Water Plant,Miscellaneous,Postage,0,21000,false,0
Rcc/Pac Operations Fund,Performing Arts Center,Direct Expenses,Phone Lines,1000,21000,false,0
Rcc/Pac Operations Fund,RCC Downtown Amphitheatre,Direct Expenses,Professional Svcs-Other,0,21000,false,0
Rcc/Pac Operations Fund,RCC Downtown Amphitheatre,Other Expense,RCC/ PAC Catering/Entertain Ex,3000,21000,false,0
SWS Operating Fund,Solid Waste Admin,Salaries and Wages,Holiday Pay,7400,21000,false,0
General Fund,Non-Departmental,Non-Program Revenues,Violation-Dog/Cat Pntly (Wcpss,0,21000,true,0
Rcc/Pac Debt Svc Fund,Non-Departmental,Non-Program Revenues,Interest On Investments,14000,21000,true,0
Rcc/Pac Operations Fund,RCC Downtown Amphitheatre,General/Fixed Costs,Misc Fees & Chgs-Rccc/Pac,1000,21000,true,0
Revolving Fund,PRCR - Recreation,Raleigh Youth Council,Approp From Prior Year,2500,21000,true,0
General Fund,City Attorney,Miscellaneous,Records Storage Retention Svcs,6040.89,21040.89,false,0
General Fund,Neighborhood Code Enforcement,Employee Benefits,Dental Insurance,4620.04,21041.04,false,0
Parking Facilities Fund-Operat,Parking Operations,Employee Benefits,Supplemental Retirement,-684.23,21052.62,false,0
General Fund,Police Detective Division,Direct Expenses,Office Supplies,-5000,21100,false,0
Rcc/Pac Operations Fund,Performing Arts Center,Other Expense,RCC/ PAC Program Exp,-20892,21108,false,0
Rcc/Pac Operations Fund,Performing Arts Center,Performing Arts Center,Rccc/Pac Program Income,-20892,21108,true,0
General Fund,Fire Training,Direct Expenses,Small Equipment,-20000,21200,false,0
General Fund,Human Resources,Direct Expenses,Rental-Real Property,0,21216.7,false,0
General Fund,Stormwater Street Maintenance,Employee Benefits,Dental Insurance,3494.72,21262,false,0
General Fund,PRCR - Recreation,Direct Expenses,Photocopy Maint,460,21269,false,0
General Fund,Finance Administration,Employee Benefits,Social Security,854.33,21277.36,false,0
General Fund,PRCR - F&O - Park Fac Maint,Salaries and Wages,Longevity,3759.73,21327.62,false,0
General Fund,Planning,Salaries and Wages,Expense Allowance,2306,21352,false,0
General Fund,PRCR - Parks - Highway Maint,Capital Equipment,Grounds Maint Equip,0,21493,false,0
General Fund,IT Enterprise Infrastructure M,Employee Benefits,Medicare,-2338.19,21495.45,false,0
Rcc/Pac Operations Fund,RCC Facility,Direct Expenses,Credit Card Fees,5300,21500,false,0
General Fund,Community Svcs,Employee Benefits,FICA Temp,-860.81,21590.63,false,0
Public Utilities Fund,Resource Recovery,Direct Expenses,Computer Lease,-4167,21598,false,0
Public Utilities Fund,Public Utilities Admin,Non-Program Revenues,Fr 360 for W/S Reimb,11600,21600,true,0
General Fund,City Manager,Employee Benefits,Medicare,2545.21,21614.69,false,0
General Fund,Budget & Management Services,Employee Benefits,Supplemental Retirement,-13282.03,21679.2,false,0
General Fund,Finance Administration,Employee Benefits,Health Insurance,5796,21732,false,0
General Fund,PRCR - F&O - Park Fac Maint,Direct Expenses,Telephone/Comm (Hard Lines),2935,21840.99,false,0
General Fund,Payroll,Employee Benefits,Social Security,567.69,21849.21,false,0
Public Utilities Fund,Public Utilities Admin,Employee Benefits,Dental Insurance,771.56,21911.8,false,0
General Fund,Inspections,Salaries and Wages,Salaries-Ot For Ft Staff,-50000,22000,false,0
General Fund,IT Enterprise Infrastructure M,Salaries and Wages,Salaries-Ot For Ft Staff,0,22000,false,0
General Fund,Office of Sustainability,Direct Expenses,Operational & Maint Supplies,0,22000,false,0
General Fund,Police Administrative Services,Direct Expenses,Natural Gas Svc,0,22000,false,0
General Fund,Transportation Field Services,Direct Expenses,Electric Service,0,22000,false,0
Public Utilities Fund,Public Utilities Admin,Non-Program Revenues,Outside Sewer Connections,0,22000,true,0
General Fund,Police Chiefs Office,Direct Expenses,Motor Fuels & Lubricants,0,22050,false,0
Public Utilities Fund,PU Meters,Employee Benefits,FICA Temp,82.47,22083.72,false,0
General Fund,Internal Audit Office,Employee Benefits,Retirement,199.77,22163.07,false,0
General Fund,PRCR - Parks - Cemetery Maint,Direct Expenses,Operational & Maint Supplies,0,22178,false,0
SWS Operating Fund,Solid Waste Admin,Direct Expenses,Equipment Usage Charge,9800,22240,false,0
SWS Operating Fund,Solid Waste Admin,Other Expense,To ISF-WC Excess Premium,-1522,22288,false,0
Public Utilities Fund,PU Water Distribution,Direct Expenses,Chemicals,0,22330,false,0
Community Dev Block Grant,Community Development,Employee Benefits,Health Insurance (Retiree),22347,22347,false,0
Public Utilities Fund,Resource Recovery,Miscellaneous,Professional Certification,0,22350,false,0
General Fund,Public Affairs,Miscellaneous,Advertising,0,22500,false,0
General Fund,IT Strategy & Planning,Direct Expenses,Photocopy Maint,0,22600,false,0
Revolving Fund,PRCR - Recreation,Miscellaneous,Licenses/Dues & Publications,1336,22636,false,0
General Fund,Stormwater Street Maintenance,Employee Benefits,Medicare,433.99,22674.18,false,0
General Fund,Office of the Fire Marshall,Employee Benefits,Dental Insurance,4642.28,22768.72,false,0
General Fund,PRCR - Resources,Direct Expenses,Computer Operations & Access,0,22818.2,false,0
Stormwater Utility Fund,Stormwater Management,Interfund Transfers In/Out,To 501 Technology Cap Proj,-6311,22830,false,0
Public Utilities Fund,PU Sewer Maintenance,Direct Expenses,Computer Lease,1373,22943,false,0
Public Utilities Fund,PU Water Plant,Miscellaneous,Licenses/Dues & Publications,0,23000,false,0
Rcc/Pac Operations Fund,RCC Facility,Direct Expenses,Phone Lines,1000,23000,false,0
Rcc/Pac Operations Fund,RCC Facility,Other Expense,RCC/ PAC Production Exp,7000,23000,false,0
Parking Facilities Fund-Operat,Parking Operations,Non-Program Revenues,Interest On Investments,23000,23000,true,0
General Fund,City Clerk,Employee Benefits,Retirement,426.4,23005.61,false,0
General Fund,Public Works,Direct Expenses,Cellular/Wireless Voice Lines,3402,23064,false,0
General Fund,Police Chiefs Office,Direct Expenses,Equipment Usage Charge,0,23100,false,0
General Fund,Information Technology Admin,Employee Benefits,Supplemental Retirement,6179.81,23133.04,false,0
General Fund,PRCR - F&O - City Fac Maint,Direct Expenses,Telephone/Comm (Hard Lines),14545,23183.71,false,0
Public Utilities Fund,PU Utility Billing,Salaries and Wages,Longevity,1230.23,23339.81,false,0
General Fund,PRCR - Resources,Direct Expenses,Rental-Real Property,-5263,23374,false,0
Rcc/Pac Operations Fund,Performing Arts Center,Direct Expenses,Computer Operations & Access,0,23400,false,0
General Fund,PRCR - Strategic Plan & Devel,Direct Expenses,Computer Lease,1775,23412,false,0
General Fund,PRCR - Parks - Greenway Maint,Direct Expenses,Equipment Repair Parts,23421,23421,false,0
Public Utilities Fund,PU Water Plant,Direct Expenses,Uniforms,0,23525,false,0
General Fund,Planning,Direct Expenses,Motor Fuels & Lubricants,173,23546,false,0
Revolving Fund,Planning,Capital Project Expense,Loans,23610,23610,false,0
SWS Operating Fund,Solid Waste Recycling,Employee Benefits,Dental Insurance,5034.84,23640.92,false,0
Rcc/Pac Operations Fund,Performing Arts Center,Employee Benefits,Medicare,6154.79,23779.99,false,0
SWS Operating Fund,Solid Waste Admin,Employee Benefits,Supplemental Retirement,-5560.91,23887.25,false,0
General Fund,Office of Economic Development,Miscellaneous,Training & Travel & Reg,0,23890,false,0
Home Grant,Community Development,Interfund Transfers In/Out,To 100 Ind Cost,4962,23892,false,0
Public Utilities Fund,PU Water Plant,Direct Expenses,Office Supplies,0,23900,false,0
General Fund,Fire Adm,Miscellaneous,Training & Travel & Reg,0,24000,false,0
Revolving Fund,Police Administrative Services,Police Donations,Police Dept Misc Revenue,20000,24000,true,0
General Fund,Finance Administration,Employee Benefits,Retirement,733.98,24022.83,false,0
General Fund,PRCR - Resources,Salaries and Wages,Longevity,3063.1,24049.86,false,0
General Fund,Office of Sustainability,Employee Benefits,Social Security,1097.46,24115.81,false,0
General Fund,Public Works,Direct Expenses,Special Projects & Programs,0,24119,false,0
Public Utilities Fund,PU Capital Improvement Mgmt,Direct Expenses,Computer Lease,2681,24172,false,0
General Fund,Planning,Direct Expenses,Copier Maintenance/Impressions,50,24274,false,0
General Fund,Neighborhood Code Enforcement,Employee Benefits,Medicare,832.31,24311.19,false,0
General Fund,Public Works,Direct Expenses,Electric Service,5920,24420,false,0
General Fund,Planning,Direct Expenses,Operational & Maint Supplies,-7400,24500,false,0
Rcc/Pac Operations Fund,RCC/PAC Special Events,Direct Expenses,Professional Svcs-Other,23500,24500,false,0
Public Utilities Fund,Resource Recovery,Direct Expenses,Lease-Equipment,-15033,24600,false,0
SWS Operating Fund,Solid Waste Recycling,Employee Benefits,Medicare,2629.89,24618.39,false,0
General Fund,Planning,Miscellaneous,Licenses/Dues & Publications,71,24665,false,0
General Fund,Payroll,Employee Benefits,Retirement,400.69,24668.48,false,0
Public Utilities Fund,PU Capital Improvement Mgmt,Employee Benefits,Dental Insurance,9556.78,24800.92,false,0
Community Dev Block Grant,Community Development,Other Expense,Service Fees - Gr,0,25000,false,0
General Fund,City Attorney,Capital Project Expense,Const Renovation,25000,25000,false,0
General Fund,City Attorney,Miscellaneous,Training & Travel & Reg,0,25000,false,0
General Fund,Construction Mgmt,Direct Expenses,Contractual Svcs-Other,-5000,25000,false,0
General Fund,Emergency Communications,Direct Expenses,Professional Svcs-Other,1752,25000,false,0
General Fund,Human Resources,Miscellaneous,Advertising,5000,25000,false,0
General Fund,Planning,Capital Project Expense,Const Renovation,25000,25000,false,0
General Fund,Police Chiefs Office,Direct Expenses,Vehicle Maint & Operation,0,25000,false,0
General Fund,Police Detective Division,Direct Expenses,Professional Svcs-Other,0,25000,false,0
General Fund,Police Field Operations,Miscellaneous,Training & Travel & Reg,0,25000,false,0
General Fund,Transportation Field Services,Direct Expenses,Contractual Svcs-Other,-20000,25000,false,0
Parking Debt Service Fund,Treasury Office,Direct Expenses,Bond Sale Services,0,25000,false,0
Public Utilities Fund,Public Utilities Admin,Direct Expenses,Annual Maint Agreements,0,25000,false,0
Public Utilities Fund,Public Utilities Admin,Miscellaneous,Postage,0,25000,false,0
Public Utilities Fund,Resource Recovery,Capital Equipment,Computer Hardware/Software,0,25000,false,0
Rcc/Pac Debt Svc Fund,Treasury Office,Direct Expenses,Bond Sale Services,0,25000,false,0
Rcc/Pac Debt Svc Fund,Treasury Office,Direct Expenses,Financial Advisor,0,25000,false,0
Rcc/Pac Operations Fund,Performing Arts Center,Direct Expenses,Repairs-Bldg/Structure,0,25000,false,0
Rcc/Pac Operations Fund,Performing Arts Center,Other Expense,RCC/PAC Group Sales Comm,0,25000,false,0
Rcc/Pac Operations Fund,RCC Downtown Amphitheatre,Direct Expenses,Operational & Maint Supplies,0,25000,false,0
Rcc/Pac Operations Fund,RCC/PAC Special Events,Salaries and Wages,Event Production Personnel-Tem,8000,25000,false,0
Revolving Fund,Fire Training,Direct Expenses,Equipment Repair Parts,0,25000,false,0
Revolving Fund,PRCR - Parks -Park Maintenance,Direct Expenses,Small Equipment,25000,25000,false,0
SWS Operating Fund,Solid Waste Yardwaste Ctr,Interfund Transfers In/Out,To 460 Reimb Engineering Stm W,11000,25000,false,0
Transit CAMPO Fund,Planning  - CAMPO,Direct Expenses,Office Supplies,0,25000,false,0
Utility Debt Service Fund,Treasury Office,Direct Expenses,Arbitrage Rebate Consult,0,25000,false,0
Parking Debt Service Fund,Non-Departmental,Non-Program Revenues,Interest On Investments,0,25000,true,0
Rcc/Pac Operations Fund,Performing Arts Center,Performing Arts Center,Group Comm Income,15000,25000,true,0
Rcc/Pac Operations Fund,RCC Facility,Convention Center,Rent-RCC Wireless Service,0,25000,true,0
Rcc/Pac Operations Fund,RCC/PAC Special Events,Special Events Costs,Rccc Exhibitor Fees,6000,25000,true,0
Revolving Fund,PRCR - Recreation,Anderson Point,Fees/Sales,0,25000,true,0
Revolving Fund,PRCR - Recreation,Tennis,Donations/Contributions,0,25000,true,0
Revolving Fund,PRCR - Recreation,Tucker Mansion,Fees/Sales,7000,25000,true,0
Stormwater Utility Fund,Non-Departmental,Non-Program Revenues,Interest On Investments,-10000,25000,true,0
General Fund,Police Field Operations,Employee Benefits,Group Life Ad & Di,591.51,25070.16,false,0
General Fund,Police Field Operations,Employee Benefits,Medicare Temp,19.67,25149.55,false,0
General Fund,Stormwater Street Maintenance,Salaries and Wages,Longevity,515.86,25192.04,false,0
General Fund,Public Affairs-RTN,Salaries and Wages,Salaries-Pt Temp/Seasonal,-10275,25250,false,0
General Fund,Planning,Direct Expenses,Computer Operations & Access,9052,25320,false,0
SWS Operating Fund,Solid Waste Admin,Salaries and Wages,Longevity,546.64,25339.11,false,0
General Fund,Construction Mgmt,Employee Benefits,Supplemental Retirement,-1662.3,25467.12,false,0
SWS Operating Fund,Solid Waste Recycling,Salaries and Wages,Longevity,6837.54,25471.21,false,0
Public Utilities Fund,PU Water Plant,Employee Benefits,FICA Temp,768.43,25477.96,false,0
Community Dev Block Grant,Community Development,Miscellaneous,Relocation,-94500,25500,false,0
Rcc/Pac Operations Fund,RCC Facility,Employee Benefits,Unemployment,0,25566,false,0
General Fund,Public Affairs-RTN,Employee Benefits,Social Security,412.05,25577.31,false,0
E 911 State Tax Fund-Operating,Emergency Communications,Employee Benefits,Social Security,820.78,25614.2,false,0
SWS Operating Fund,Solid Waste Residential Collec,Employee Benefits,FICA Temp,-5786.52,25664.59,false,0
Rcc/Pac Operations Fund,Performing Arts Center,Other Expense,RCC/PAC Group Ticketmaster Fee,-700,25700,false,0
General Fund,PRCR - F&O - Park Fac Maint,Employee Benefits,Supplemental Retirement,-2323.88,25723.23,false,0
General Fund,PRCR - Strategic Plan & Devel,Employee Benefits,Medicare,903.34,25988.01,false,0
General Fund,Neighborhood Code Enforcement,Direct Expenses,Computer Lease,0,26000,false,0
Rcc/Pac Operations Fund,RCC Downtown Amphitheatre,Other Expense,RCC/ PAC Miscellaneous Exp,1000,26000,false,0
Rcc/Pac Operations Fund,RCC/PAC Special Events,Other Expense,RCC/ PAC Performance Fees,9500,26000,false,0
Public Utilities Fund,PU Water Plant,Employee Benefits,Retirement Temp,340.99,26077.53,false,0
SWS Operating Fund,Solid Waste Admin,Non-Program Revenues,Drop Off Contract Recycle Rev,-9900,26100,true,0
Public Utilities Fund,PU Meters,Direct Expenses,Uniforms,0,26125,false,0
Stormwater Utility Fund,Stormwater Management,Direct Expenses,Computer Operations & Access,7130,26130,false,0
Revolving Fund,PRCR - Recreation,Direct Expenses,Photocopy Maint,-4485.37,26180.63,false,0
General Fund,PRCR - Resources,Direct Expenses,Office Supplies,-745,26201,false,0
Rcc/Pac Operations Fund,Performing Arts Center,Interfund Transfers In/Out,To 501 ERP Debt Service,-443.46,26292.54,false,0
Utility Debt Service Fund,Non-Departmental,Non-Program Revenues,Utility Garner Reserve Alloc,0,26400,true,0
General Fund,PRCR - F&O - City Fac Maint,Non-Program Revenues,Rental Fee-900 S Wilmington St,-5430,26570,true,0
General Fund,Human Resources,Salaries and Wages,Longevity,3956.52,26581.99,false,0
General Fund,PRCR - F&O - City Fac Maint,Employee Benefits,Dental Insurance,9954.96,26715.04,false,0
General Fund,PRCR - F&O - City Fac Maint,Direct Expenses,Wireless Data Comm,9137,26716,false,0
SWS Operating Fund,Solid Waste Recycling,Employee Benefits,Supplemental Retirement,-2391.5,26723.6,false,0
Public Utilities Fund,Resource Recovery,Employee Benefits,FICA Temp,-764.15,26744.82,false,0
Public Utilities Fund,PU Water Distribution,Direct Expenses,Computer Lease,1699,26782,false,0
General Fund,IT Enterprise Infrastructure M,Employee Benefits,Supplemental Retirement,-5395.52,26787.39,false,0
SWS Operating Fund,Solid Waste Admin,Direct Expenses,Motor Fuels & Lubricants,10412.5,26792.5,false,0
General Fund,Purchasing,Employee Benefits,Social Security,243.14,26832.6,false,0
General Fund,PRCR - Resources,Miscellaneous,Training & Travel & Reg,2406,26850,false,0
SWS Operating Fund,Solid Waste Residential Collec,Employee Benefits,Retirement Temp,-5015.79,26894.93,false,0
General Fund,IT Customer Relationship Mgt,Direct Expenses,Telephone/Comm (Hard Lines),0,27000,false,0
General Fund,Neighborhood Code Enforcement,Direct Expenses,Wireless Data Comm,0,27000,false,0
Rcc/Pac Operations Fund,RCC Downtown Amphitheatre,Salaries and Wages,Salaries-Ot For Ft Staff,2000,27000,false,0
General Fund,Fire Operations,Employee Benefits,Medicare Temp,449.97,27008.11,false,0
Stormwater Utility Fund,Stormwater Management,Direct Expenses,Computer Lease,-14584,27016,false,0
General Fund,Planning,Direct Expenses,Print Copy-Rmb,2639.4,27039.4,false,0
General Fund,Fire Operations,Employee Benefits,Group Life Ad & Di,607.55,27168.08,false,0
General Fund,Office of Sustainability,Employee Benefits,Retirement,979.17,27227.53,false,0
General Fund,PRCR - Parks -Park Maintenance,Direct Expenses,Safety/Medical Supplies,3978,27238,false,0
General Fund,PRCR - Resources,Employee Benefits,Dental Insurance,5927.39,27265.48,false,0
SWS Operating Fund,Solid Waste Admin,Direct Expenses,Print Copy-Rmb,0,27300,false,0
General Fund,PRCR - Parks -Park Maintenance,Employee Benefits,FICA Temp,10128.43,27341.57,false,0
Rcc/Pac Operations Fund,RCC Facility,Employee Benefits,Employee Benefits,0,27412.03,false,0
General Fund,PRCR - Resources,Capital Equipment,Automobiles,15000,27428,false,0
General Fund,PRCR - Recreation-School Based,Employee Benefits,Social Security,727.14,27486.87,false,0
General Fund,PRCR - Business Process Mgmt,Direct Expenses,Copier Maintenance/Impressions,0,27506,false,0
Public Utilities Fund,PU Water Distribution,Employee Benefits,FICA Temp,0,27515.72,false,0
General Fund,IT Strategy & Planning,Direct Expenses,Office Supplies,500,27600,false,0
General Fund,PRCR - Resources,Direct Expenses,Computer Lease,4322,27773,false,0
General Fund,Public Works,Other Expense,To ISF-WC Excess Premium,-2353,27890,false,0
Public Utilities Fund,PU Meters,Miscellaneous,Training & Travel & Reg,0,27960,false,0
General Fund,Office of Emerg Mgmt & Spec Ev,Employee Benefits,Health Insurance,7221.12,27969.12,false,0
Public Utilities Fund,Resource Recovery,Employee Benefits,Retirement Temp,-416.77,27999.23,false,0
General Fund,Police Chiefs Office,Miscellaneous,Training & Travel & Reg,0,28000,false,0
General Fund,PRCR - Resources,Miscellaneous,Purchases For Resale,-1000,28000,false,0
General Fund,Office of Economic Development,Employee Benefits,Social Security,413.35,28004.17,false,0
General Fund,PRCR - Recreation,Interfund Transfers In/Out,To 810 Grants/Grants Match,28005,28005,false,0
Grants Fund,PRCR - Business Process Mgmt,Grant Year 2015/2016,Fr 100 For Grants/Match,28005,28005,true,0
General Fund,PRCR - Recreation,Salaries and Wages,Salaries-Ot For Ft Staff,750,28200,false,0
Public Utilities Fund,Public Utilities Admin,Direct Expenses,Equipment Usage Charge,7400,28318,false,0
General Fund,PRCR - F&O - City Fac Maint,Salaries and Wages,Longevity,3991.04,28346.37,false,0
Stormwater Utility Fund,Stormwater Management,Salaries and Wages,Salaries-Pt Temp/Seasonal,15382,28442,false,0
General Fund,Fire Support Svcs,Salaries and Wages,Salaries-Ot For Ft Staff,-12460,28500,false,0
Public Utilities Fund,PU Utility Billing,Employee Benefits,Dental Insurance,1967.56,28576.84,false,0
Housing Development-Operating,Community Development,Interfund Transfers In/Out,To 190 Debt Svc,0,28684,false,0
General Debt Service Fund,Non-Departmental,Non-Program Revenues,Fr 736 Trans Hsing,0,28684,true,0
General Fund,PRCR - Recreation,Direct Expenses,Computer Lease,7977,28729,false,0
General Fund,Inspections,Direct Expenses,Computer Lease,-5686,28775,false,0
Housing Development-Operating,Community Development,Employee Benefits,Supplemental Retirement,-6073.18,28779.1,false,0
Public Utilities Fund,Resource Recovery,Direct Expenses,Annual Maint Agreements,13800,28800,false,0
General Debt Service Fund,Non-Departmental,Direct Expenses,Rsv-Contingency,28849,28849,false,0
General Fund,Public Affairs-RTN,Employee Benefits,Retirement,181.08,28877.6,false,0
Public Transit Fund-Operating,Transit Operations,Employee Benefits,Health Insurance (Retiree),2652,28884,false,0
E 911 State Tax Fund-Operating,Emergency Communications,Employee Benefits,Retirement,646.77,28919.28,false,0
Revolving Fund,Police Administrative Services,Direct Expenses,Operational & Maint Supplies,20000,28940,false,0
General Fund,Fire Adm,Direct Expenses,Small Equipment,-16000,29000,false,0
General Fund,PRCR - Business Process Mgmt,Direct Expenses,Contractual Svcs-Other,4000,29000,false,0
Rcc/Pac Operations Fund,Performing Arts Center,Salaries and Wages,Longevity,11177.92,29016.9,false,0
Public Utilities Fund,Public Utilities Admin,Non-Program Revenues,Fr 260 Water & Sewer Reimburse,3279,29100,true,0
General Fund,Police Chiefs Office,Employee Benefits,Medicare,698.32,29208.52,false,0
General Fund,Human Resources,Employee Benefits,Medicare,668.24,29438.82,false,0
Public Utilities Fund,PU Sewer Maintenance,Employee Benefits,FICA Temp,6.32,29516.22,false,0
Public Utilities Fund,Public Utilities Admin,Direct Expenses,Vehicle Maint & Operation,0,29650,false,0
General Fund,PRCR - F&O - City Fac Maint,Interfund Transfers In/Out,To 460 Reimb Engineering Stm W,8100,29723,false,0
General Fund,PRCR - Recreation,Direct Expenses,Pest Control Service,660,29760,false,0
Economic Development Fund,Office of Economic Development,Direct Expenses,Event Sponsorships,20000,30000,false,0
General Debt Service Fund,Treasury Office,Direct Expenses,Arbitrage Rebate Consult,0,30000,false,0
General Fund,City Attorney,Direct Expenses,Legal Services,0,30000,false,0
General Fund,City Council,Miscellaneous,Training & Travel & Reg,18000,30000,false,0
General Fund,Fire Adm,Capital Equipment,Computer Equip,0,30000,false,0
